fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.08,0.575,0.1,3.41,0.0866,15,76,0.9965,3.3,0.837,10.3,4
10.61,0.561,0.418,2.3,0.066,18,57,0.9969,3.42,0.566,10.4,5
9.55,0.263,0.514,2.55,0.0489,14,23,0.996,3.13,0.893,12.8,8
6.46,0.647,0.29,2.81,0.1235,19,60,0.9967,3.51,0.8,8.8,4
5.99,0.758,0.076,4.44,0.1039,30,76,0.9974,3.34,0.448,9.9,3
7.26,0.538,0.211,3.28,0.1367,16,72,0.9971,3.39,0.705,10.0,4
10.52,0.429,0.339,1.67,0.0252,1,27,0.9967,3.23,0.912,12.2,7
10.97,0.547,0.302,1.51,0.0885,8,40,0.9969,3.42,0.783,10.9,6
11.4,0.168,0.387,1.25,0.0338,7,19,0.9966,3.09,0.912,12.5,8
9.37,0.499,0.264,0.78,0.0595,7,56,0.9969,3.34,0.799,10.4,5
10.61,0.554,0.38,2.09,0.0976,14,22,0.9975,3.24,0.71,11.7,7
6.53,0.688,0.013,2.21,0.1182,22,66,0.9992,3.41,0.515,9.3,3
8.82,0.4,0.4,0.5,0.0652,9,34,0.9968,3.27,0.851,12.0,7
6.35,0.824,0.18,4.23,0.134,18,84,0.998,3.44,0.546,8.8,3
9.32,0.421,0.316,1.89,0.0398,16,40,0.9956,3.15,0.55,11.5,6
7.84,0.524,0.153,2.98,0.1276,27,57,0.9972,3.23,0.62,10.0,4
9.89,0.667,0.163,2.73,0.1009,14,63,0.9976,3.42,0.583,10.2,4
7.04,0.543,0.258,1.98,0.1293,18,38,0.9973,3.19,0.664,10.1,5
7.99,0.865,0.001,4.03,0.1237,29,93,0.9995,3.34,0.422,8.7,3
12.69,0.251,0.694,0.85,0.0676,2,9,0.9943,3.21,0.75,12.1,8
12.29,0.447,0.296,1.23,0.0889,14,12,0.9963,3.19,0.822,11.7,7
8.93,0.465,0.393,1.76,0.0779,2,26,0.9973,3.19,0.675,10.9,6
8.63,0.477,0.196,2.34,0.0909,23,76,0.9976,3.2,0.656,10.5,4
7.74,0.361,0.35,2.19,0.0279,18,33,0.9961,3.26,0.877,11.2,6
7.51,0.562,0.257,3.31,0.1319,11,53,0.9978,3.45,0.423,10.0,4
9.19,0.537,0.321,3.43,0.0602,10,46,0.998,3.25,0.75,10.5,6
7.4,0.805,0.186,3.22,0.1244,34,76,0.9986,3.37,0.316,9.3,3
10.07,0.285,0.561,1.15,0.0588,20,16,0.9953,3.15,0.945,11.2,7
8.95,0.736,0.106,3.56,0.131,15,72,1.0001,3.37,0.25,8.6,3
6.35,0.715,0.107,4.07,0.1121,20,70,0.9993,3.46,0.513,9.4,3
10.63,0.274,0.345,2.7,0.061,7,36,0.9972,3.18,0.677,10.9,6
7.25,0.832,0.052,4.29,0.1324,26,66,0.9991,3.39,0.53,9.3,3
9.67,0.307,0.474,1.8,0.0394,5,36,0.9951,3.05,0.713,12.9,8
8.24,0.581,0.107,2.93,0.1226,14,63,0.9962,3.28,0.738,9.9,5
8.92,0.195,0.407,1.71,0.0509,6,30,0.9968,3.07,1.004,13.2,8
11.24,0.118,0.677,1.04,0.066,13,20,0.996,3.04,0.997,12.4,8
7.84,0.8,0.074,4.53,0.1157,20,54,0.9978,3.55,0.384,8.8,3
6.74,0.27,0.338,2.23,0.0456,15,57,0.9978,3.24,0.56,10.3,5
6.97,0.853,0.188,3.06,0.1219,23,65,0.9981,3.48,0.692,8.8,3
5.59,0.559,0.041,2.78,0.0896,24,79,0.9984,3.34,0.65,9.4,3
6.09,0.696,0.0,3.08,0.1172,29,86,0.9985,3.53,0.515,8.8,3
9.19,0.619,0.184,2.22,0.0697,15,38,0.9972,3.27,0.687,10.2,5
8.12,0.227,0.406,2.14,0.0579,8,23,0.9984,3.23,0.691,11.0,6
6.51,0.625,0.0,2.39,0.0814,19,76,0.9978,3.36,0.565,9.6,4
12.44,0.345,0.464,1.06,0.0628,7,10,0.9976,3.24,0.81,12.3,7
10.26,0.254,0.267,0.9,0.1059,3,22,0.9959,3.22,0.67,12.2,7
8.64,0.412,0.368,0.98,0.0959,11,30,0.9971,3.36,0.757,11.8,7
10.42,0.301,0.366,1.07,0.0463,14,23,0.9958,3.15,0.797,12.0,7
6.74,0.609,0.188,3.78,0.0865,22,71,0.998,3.41,0.509,10.0,3
10.48,0.414,0.423,0.5,0.0612,12,32,0.9968,3.19,0.734,11.5,7
7.52,0.554,0.202,2.1,0.0974,25,71,0.9979,3.28,0.744,9.8,4
10.21,0.579,0.266,1.93,0.1208,21,20,0.9972,3.28,0.738,11.4,6
9.92,0.154,0.45,0.5,0.0358,18,25,0.9958,3.1,0.971,12.6,8
6.97,0.678,0.12,2.65,0.0981,25,77,0.9986,3.43,0.573,9.4,3
7.23,0.296,0.339,1.81,0.0653,14,27,0.9971,3.21,0.603,11.5,6
8.94,0.492,0.215,2.33,0.07,14,27,0.9975,3.31,0.816,10.2,5
8.48,0.477,0.268,1.91,0.0648,12,35,0.9962,3.27,0.777,10.8,6
8.2,0.74,0.191,2.36,0.0882,17,41,0.9968,3.41,0.64,10.0,4
9.74,0.356,0.406,2.34,0.0775,10,28,0.9971,3.35,0.653,11.0,6
7.4,0.63,0.124,4.05,0.0875,14,57,0.9984,3.47,0.652,9.5,4
6.45,0.643,0.204,2.71,0.1131,20,75,0.9971,3.21,0.596,9.6,4
8.41,0.513,0.391,2.33,0.0516,2,67,0.9972,3.36,0.824,10.3,5
9.19,0.426,0.311,2.06,0.0672,9,22,0.9961,3.21,0.631,11.4,6
5.82,0.865,0.008,4.0,0.0749,25,60,0.9994,3.38,0.487,9.7,3
10.83,0.404,0.436,1.24,0.0611,15,30,0.9957,3.17,0.698,11.4,7
11.02,0.436,0.386,1.66,0.074,3,57,0.9965,3.38,0.737,11.1,6
4.9,0.732,0.147,3.94,0.1239,13,60,0.9992,3.49,0.285,9.0,3
8.21,0.536,0.215,1.94,0.1045,12,25,0.9974,3.27,0.6,10.6,5
9.63,0.433,0.529,2.81,0.0524,7,16,0.9954,3.24,0.948,12.2,8
11.6,0.258,0.471,2.86,0.0507,1,34,0.9971,3.26,0.869,12.3,8
8.47,0.388,0.245,1.21,0.0537,10,37,0.9973,3.26,0.714,10.7,6
9.34,0.207,0.433,0.5,0.0638,10,20,0.998,3.15,0.94,12.3,7
9.47,0.462,0.328,2.48,0.0683,5,43,0.9965,3.1,0.856,10.7,6
9.81,0.334,0.444,1.27,0.0687,8,6,0.9971,3.15,0.879,11.7,7
8.39,0.239,0.45,1.03,0.0903,12,52,0.9961,3.38,0.846,11.7,7
6.18,0.954,0.061,3.86,0.1234,22,86,0.9987,3.47,0.581,9.5,3
10.24,0.38,0.342,0.5,0.0413,4,7,0.9947,3.18,0.769,12.9,8
11.37,0.406,0.27,2.73,0.0606,1,29,0.9962,3.14,0.786,11.4,7
7.63,0.683,0.25,1.95,0.0723,11,48,0.9966,3.26,0.543,10.9,5
8.32,0.402,0.162,2.18,0.0911,7,44,0.9986,3.21,0.673,10.3,5
8.19,0.614,0.398,2.87,0.0752,13,53,0.9978,3.48,0.577,10.0,5
9.01,0.557,0.218,2.49,0.0878,17,92,0.9983,3.3,0.696,9.6,4
9.91,0.454,0.371,1.8,0.1026,12,37,0.997,3.15,0.675,10.3,6
8.04,0.323,0.48,0.52,0.0551,8,63,0.9967,3.17,0.691,11.7,6
8.71,0.614,0.192,2.44,0.1298,20,80,0.9979,3.49,0.739,9.8,4
9.2,0.439,0.365,1.17,0.0987,17,31,0.9982,3.34,0.767,11.0,6
10.24,0.263,0.509,0.56,0.0345,10,22,0.9958,3.24,0.832,13.0,8
9.61,0.38,0.45,1.42,0.038,7,35,0.9955,3.02,0.851,13.1,8
7.12,0.71,0.164,3.89,0.1288,24,78,0.999,3.45,0.648,9.7,3
7.5,0.702,0.228,2.59,0.088,14,69,0.9984,3.26,0.7,9.3,4
12.66,0.47,0.386,1.23,0.0499,12,14,0.9962,3.05,0.937,12.3,8
7.76,0.25,0.215,1.2,0.0769,12,80,0.9968,3.31,0.438,10.3,5
9.04,0.512,0.305,0.5,0.0355,9,45,0.998,3.18,0.912,10.9,6
11.42,0.308,0.509,0.75,0.0643,7,14,0.9959,3.16,0.983,13.0,8
8.0,0.691,0.207,3.06,0.0961,14,70,0.9969,3.25,0.466,9.6,4
9.32,0.381,0.206,2.16,0.0782,13,48,0.9968,3.26,0.544,10.8,5
10.5,0.347,0.312,2.7,0.0908,20,44,0.9972,3.15,0.547,9.2,5
9.71,0.435,0.228,1.29,0.0505,10,37,0.9956,3.25,0.725,10.2,6
7.8,0.668,0.07,2.96,0.1353,37,71,0.9992,3.57,0.445,8.2,3
10.16,0.369,0.462,1.62,0.0641,11,21,0.9969,3.24,0.802,12.3,7
10.75,0.275,0.655,0.93,0.0866,4,6,0.9962,3.16,1.043,13.3,8
10.23,0.48,0.273,2.8,0.0726,4,21,0.9969,3.16,0.788,11.5,7
11.62,0.558,0.447,1.33,0.0505,1,19,0.9958,3.17,0.865,10.8,7
8.92,0.61,0.268,2.06,0.1102,14,45,0.9964,3.3,0.683,10.8,5
6.11,0.664,0.129,2.5,0.1231,24,107,0.9984,3.52,0.597,8.8,3
9.02,0.55,0.258,1.56,0.0947,14,51,0.9962,3.28,0.508,10.3,5
9.29,0.591,0.169,2.1,0.1053,14,65,0.9967,3.43,0.651,10.0,4
9.13,0.483,0.257,1.66,0.0786,19,40,0.9971,3.41,0.64,10.3,5
9.63,0.485,0.417,0.71,0.0625,14,31,0.9964,3.27,0.838,12.1,7
5.42,0.824,0.016,3.1,0.1054,19,79,0.9988,3.37,0.474,9.3,3
7.09,0.637,0.063,2.37,0.0816,15,61,0.9976,3.34,0.48,10.5,4
9.55,0.302,0.358,1.58,0.0755,11,32,0.9954,3.3,0.905,12.2,7
9.35,0.514,0.284,2.22,0.0808,10,37,0.9967,3.24,0.747,11.0,6
10.9,0.384,0.222,2.02,0.0594,11,27,0.9958,3.24,0.886,10.7,6
9.87,0.348,0.303,1.75,0.0527,6,57,0.996,3.39,0.729,11.4,7
7.53,0.665,0.127,2.92,0.0788,23,56,0.9993,3.43,0.538,9.5,4
10.06,0.352,0.34,1.76,0.0686,9,7,0.9964,3.19,0.82,11.1,7
9.49,0.481,0.306,2.22,0.0444,18,13,0.997,3.14,0.838,10.4,6
7.34,0.597,0.187,2.57,0.0868,18,60,0.9978,3.33,0.835,10.0,4
6.87,0.768,0.251,2.75,0.1497,28,79,0.999,3.4,0.489,9.2,3
8.17,0.704,0.098,1.92,0.1227,15,53,0.9975,3.32,0.66,9.3,4
8.34,0.31,0.318,1.23,0.0775,14,24,0.996,3.26,0.727,11.2,6
8.57,0.492,0.125,2.75,0.0733,17,48,0.9971,3.46,0.436,10.1,4
8.1,0.471,0.404,1.56,0.0471,15,39,0.9956,3.18,0.783,11.3,6
9.66,0.417,0.339,1.33,0.0304,1,6,0.9967,3.27,0.831,11.7,7
10.64,0.304,0.417,1.19,0.0637,16,14,0.996,3.17,0.608,12.0,7
11.37,0.345,0.363,0.88,0.0651,5,25,0.995,3.2,0.973,12.9,8
8.09,0.756,0.216,1.71,0.1056,27,44,0.9974,3.36,0.578,10.9,4
8.14,0.514,0.276,2.29,0.0879,12,57,0.996,3.31,0.712,10.3,5
6.77,0.542,0.224,3.41,0.0765,10,52,0.9972,3.28,0.624,10.2,5
7.73,0.458,0.122,2.86,0.1201,24,58,0.9972,3.4,0.557,9.7,4
9.88,0.387,0.401,1.35,0.0627,8,15,0.9972,3.26,0.851,12.6,7
6.45,0.402,0.145,1.55,0.1233,11,59,0.9982,3.36,0.653,10.5,5
7.54,0.488,0.157,2.84,0.0909,22,65,0.9969,3.33,0.599,10.4,4
11.23,0.1,0.339,1.59,0.0348,9,38,0.9952,3.12,1.079,12.4,8
10.1,0.371,0.535,0.5,0.0462,10,22,0.9942,3.1,0.976,13.1,8
7.98,0.606,0.106,3.86,0.1483,30,60,0.9972,3.49,0.526,8.5,3
8.72,0.429,0.344,0.95,0.0911,9,40,0.9965,3.34,0.762,10.7,6
6.77,0.686,0.121,2.69,0.0973,14,66,0.9985,3.5,0.583,9.9,3
6.82,0.804,0.1,2.5,0.1343,34,58,0.9997,3.52,0.52,9.5,3
6.53,0.499,0.077,4.19,0.1202,15,72,0.9982,3.36,0.472,9.4,3
8.06,0.378,0.296,2.1,0.0949,19,30,0.9964,3.3,0.727,9.8,5
10.12,0.391,0.508,1.64,0.0203,9,13,0.9967,3.22,0.938,13.3,8
9.45,0.437,0.543,0.85,0.0285,8,38,0.9967,3.19,0.814,11.8,7
7.28,0.596,0.381,2.92,0.1271,16,61,0.9981,3.32,0.55,9.6,4
8.61,0.455,0.217,2.17,0.1201,21,42,0.9973,3.32,0.58,10.3,5
9.35,0.174,0.364,1.3,0.0492,8,23,0.9969,3.13,0.743,12.3,7
5.87,0.883,0.181,2.69,0.1567,20,74,0.9988,3.5,0.57,9.6,3
7.57,0.558,0.121,4.73,0.1269,19,68,0.9972,3.49,0.516,8.7,3
6.94,0.44,0.494,1.61,0.0726,9,14,0.997,3.25,0.857,11.3,6
8.39,0.665,0.138,2.33,0.1098,10,52,0.9984,3.38,0.659,10.7,5
8.49,0.582,0.064,3.13,0.0828,23,71,0.9979,3.32,0.595,10.6,4
9.17,0.708,0.0,2.92,0.1066,27,39,0.9972,3.27,0.602,10.2,4
11.5,0.389,0.406,2.27,0.0877,11,48,0.9964,3.25,0.669,11.1,6
9.07,0.662,0.153,1.01,0.1073,27,42,0.998,3.38,0.664,10.4,5
8.7,0.176,0.447,1.98,0.0744,6,19,0.9954,3.2,0.806,12.2,7
8.01,0.612,0.097,3.38,0.1176,22,44,0.9979,3.39,0.447,10.2,4
8.43,0.359,0.408,2.37,0.076,10,28,0.9971,3.4,0.65,10.7,5
9.37,0.289,0.341,1.29,0.069,9,40,0.9971,3.28,0.797,11.4,6
7.62,0.631,0.251,1.67,0.1042,23,52,0.9979,3.4,0.472,10.3,4
7.44,0.412,0.113,2.55,0.1143,18,41,0.9968,3.35,0.666,10.1,5
6.53,0.683,0.051,3.49,0.1407,23,63,0.9979,3.45,0.273,9.6,3
10.24,0.354,0.289,1.65,0.0678,1,30,0.9976,3.13,0.783,11.5,7
5.77,0.696,0.123,4.25,0.1164,25,71,0.9984,3.46,0.629,9.4,3
7.57,0.704,0.133,4.0,0.1291,33,51,0.9996,3.39,0.372,8.9,3
7.4,0.704,0.341,3.34,0.1007,16,66,0.9979,3.3,0.636,10.4,5
6.38,0.807,0.141,3.03,0.1302,25,66,0.9981,3.42,0.531,9.6,3
10.33,0.14,0.637,0.74,0.0335,6,46,0.9959,3.15,0.803,12.8,8
7.88,0.402,0.358,1.65,0.0589,16,67,0.9975,3.28,0.685,10.0,5
10.1,0.384,0.324,1.37,0.0445,16,42,0.9948,3.24,0.788,11.6,7
10.84,0.3,0.678,1.85,0.0865,10,16,0.9961,3.15,1.017,13.2,8
10.63,0.162,0.378,1.92,0.0376,11,18,0.9973,3.0,0.857,12.4,7
7.89,0.461,0.336,0.72,0.0769,20,26,0.9966,3.41,0.898,10.7,6
8.42,0.466,0.336,2.2,0.0879,14,22,0.9968,3.19,0.647,10.6,6
9.17,0.337,0.468,1.44,0.1066,2,37,0.9977,3.17,0.801,11.6,7
8.57,0.495,0.438,1.89,0.0772,20,50,0.997,3.2,0.657,11.1,6
5.98,0.677,0.157,3.93,0.1088,23,71,0.9991,3.49,0.517,9.0,3
8.71,0.595,0.346,2.64,0.0644,9,42,0.9979,3.31,0.627,10.3,5
7.25,0.58,0.0,4.61,0.1218,18,76,0.9983,3.6,0.471,9.5,3
8.46,0.326,0.357,1.23,0.0612,3,34,0.9965,3.15,0.951,12.7,8
10.09,0.28,0.361,1.78,0.0217,13,12,0.9965,3.21,0.75,12.5,7
8.25,0.333,0.255,2.5,0.1111,6,69,0.9966,3.33,0.637,9.6,4
7.02,0.768,0.0,3.3,0.0987,22,74,0.9982,3.4,0.537,9.4,3
9.38,0.605,0.193,2.0,0.0777,4,29,0.9984,3.28,0.515,9.9,5
7.44,0.634,0.216,3.24,0.0937,21,74,0.9965,3.36,0.536,10.4,4
11.53,0.315,0.615,1.1,0.0596,2,9,0.9952,3.21,0.752,12.4,8
10.33,0.315,0.512,1.74,0.0854,16,20,0.9962,3.22,0.766,11.7,7
9.83,0.469,0.418,0.68,0.0132,2,20,0.9961,3.15,0.892,13.1,8
9.95,0.694,0.111,2.9,0.0997,15,60,0.9986,3.31,0.564,9.7,4
8.33,0.435,0.163,2.92,0.0991,18,81,0.9978,3.37,0.647,8.9,3
7.67,0.196,0.397,2.31,0.0668,17,37,0.9961,3.22,0.72,10.8,6
12.36,0.426,0.474,0.5,0.0522,8,21,0.9945,3.15,0.901,12.6,8
9.01,0.451,0.264,1.8,0.0741,12,21,0.9964,3.17,0.676,11.7,6
7.47,0.646,0.271,2.95,0.0883,25,70,0.9985,3.4,0.545,10.2,4
10.2,0.135,0.546,2.18,0.0724,13,24,0.9955,3.09,0.907,12.2,8
10.03,0.55,0.297,1.04,0.0581,13,38,0.9972,3.32,0.744,10.8,6
8.48,0.476,0.203,2.63,0.0732,8,41,0.9981,3.29,0.718,11.4,5
11.83,0.431,0.441,0.54,0.0734,2,26,0.9962,3.31,0.811,12.4,8
8.96,0.538,0.172,2.48,0.0909,18,68,0.9976,3.41,0.514,10.1,4
7.39,0.591,0.251,2.69,0.1095,14,78,0.9971,3.3,0.295,9.5,4
9.59,0.332,0.526,1.23,0.0947,9,11,0.9967,3.13,0.798,12.3,7
10.62,0.367,0.436,0.78,0.0321,5,19,0.9951,3.03,0.905,12.5,8
11.81,0.39,0.464,1.28,0.0662,7,36,0.9967,3.02,1.079,12.6,8
8.4,0.801,0.032,4.63,0.1389,27,93,0.998,3.51,0.22,8.6,3
7.0,0.764,0.199,3.89,0.1092,26,54,0.9984,3.42,0.421,8.8,3
8.47,0.379,0.25,2.2,0.1116,13,38,0.9979,3.35,0.669,9.7,5
9.25,0.173,0.326,0.69,0.0434,3,23,0.9954,3.25,0.866,11.0,7
11.64,0.279,0.284,0.72,0.0397,14,40,0.9955,3.16,0.837,12.1,7
11.31,0.374,0.379,0.94,0.0578,12,40,0.9952,3.27,0.784,10.9,7
7.85,0.496,0.346,2.18,0.0952,22,49,0.9965,3.26,0.622,10.5,5
5.56,0.922,0.0,2.88,0.1576,19,82,0.9987,3.46,0.513,9.7,3
11.35,0.142,0.369,0.98,0.0318,12,36,0.9965,3.08,0.894,12.4,8
8.97,0.478,0.219,1.75,0.0548,14,48,0.9976,3.23,0.589,10.1,5
8.4,0.393,0.364,2.46,0.0811,9,25,0.9982,3.35,0.673,10.9,6
10.78,0.41,0.558,1.1,0.077,4,6,0.9959,3.16,0.788,13.0,8
7.27,0.555,0.186,2.16,0.0839,19,44,0.9968,3.25,0.807,10.1,5
10.3,0.336,0.368,0.76,0.1045,3,36,0.9966,3.1,0.884,11.4,7
6.24,0.648,0.038,3.81,0.1146,19,63,0.9979,3.41,0.491,8.9,3
11.69,0.367,0.518,1.2,0.0625,6,12,0.9961,3.14,0.878,12.8,8
8.39,0.292,0.329,0.97,0.1024,12,30,0.996,3.22,0.594,10.8,6
10.47,0.296,0.45,1.18,0.0588,12,41,0.9966,3.22,0.838,11.7,7
6.96,0.779,0.034,4.02,0.1231,21,75,0.9971,3.44,0.512,8.9,3
6.3,0.875,0.245,4.96,0.1286,26,71,0.999,3.44,0.468,9.3,3
9.29,0.219,0.53,1.44,0.0465,12,6,0.9966,3.14,0.968,13.0,8
10.25,0.488,0.451,3.01,0.1325,9,45,0.9966,3.15,0.723,10.9,6
8.97,0.215,0.593,1.6,0.0393,15,21,0.9975,3.18,0.889,11.8,7
6.36,0.635,0.057,3.6,0.0957,23,70,0.9969,3.39,0.44,9.9,4
7.47,0.255,0.414,1.82,0.1058,13,28,0.9963,3.16,0.577,10.2,6
9.47,0.559,0.493,2.01,0.0382,5,37,0.9963,3.28,0.694,10.6,6
10.23,0.541,0.175,2.75,0.0457,18,63,0.9979,3.4,0.494,10.1,4
9.74,0.591,0.155,2.02,0.0999,24,46,0.9986,3.3,0.688,10.4,4
10.59,0.35,0.399,2.14,0.0495,22,14,0.9956,3.09,0.85,12.3,7
11.5,0.422,0.556,1.45,0.0629,1,34,0.9967,3.06,0.971,13.3,8
8.33,0.404,0.423,2.19,0.042,1,18,0.9974,3.33,0.796,11.7,6
9.42,0.307,0.367,1.53,0.0709,9,6,0.9954,3.1,0.544,12.1,7
5.66,0.498,0.035,2.09,0.067,20,59,0.9984,3.34,0.558,9.9,4
10.82,0.428,0.204,2.17,0.0825,15,62,0.9975,3.27,0.726,9.9,5
10.58,0.26,0.417,2.86,0.0696,15,30,0.9957,3.32,1.045,11.2,7
6.24,0.639,0.13,3.47,0.1248,26,82,0.9984,3.47,0.475,9.1,3
9.12,0.397,0.405,1.45,0.0834,6,22,0.9969,3.26,0.809,11.7,7
5.52,1.031,0.09,5.1,0.1282,25,84,0.9984,3.44,0.51,9.7,3
10.43,0.275,0.55,0.91,0.0124,4,6,0.9942,3.1,0.852,13.2,8
10.93,0.32,0.44,2.5,0.0795,11,29,0.997,3.2,0.902,12.0,7
8.49,0.664,0.109,1.91,0.0383,13,70,0.9975,3.33,0.52,10.9,5
12.93,0.274,0.382,1.6,0.0842,14,39,0.9956,3.22,0.768,11.4,7
6.46,0.545,0.235,2.66,0.0954,28,48,0.9969,3.52,0.708,9.1,4
4.47,0.653,0.049,2.52,0.1172,14,85,0.9984,3.38,0.574,9.1,3
9.38,0.452,0.298,2.55,0.093,9,42,0.9964,3.37,0.447,10.6,5
8.77,0.438,0.132,1.93,0.0597,17,44,0.9971,3.23,0.675,10.5,5
6.57,0.849,0.101,4.2,0.1424,24,52,0.9976,3.52,0.499,8.9,3
10.03,0.146,0.461,0.96,0.041,14,6,0.9963,3.01,1.033,12.7,8
8.78,0.389,0.459,1.42,0.041,13,36,0.996,3.24,0.69,10.8,6
9.26,0.537,0.527,1.62,0.08,11,35,0.9969,3.26,0.74,11.5,7
8.2,0.413,0.227,1.58,0.1218,9,61,0.9974,3.33,0.603,10.6,5
7.66,1.109,0.114,3.94,0.1196,23,55,0.9985,3.39,0.646,9.4,3
10.24,0.458,0.446,2.25,0.0475,13,23,0.996,3.27,0.812,11.9,7
9.3,0.418,0.212,2.53,0.0562,8,29,0.9976,3.3,0.741,10.4,6
9.97,0.391,0.228,0.93,0.0782,7,34,0.9965,3.35,0.689,11.3,6
11.16,0.434,0.259,1.41,0.0564,6,53,0.9973,3.36,0.736,10.3,6
8.65,0.234,0.418,1.12,0.0745,6,8,0.9969,3.1,0.907,12.4,8
8.19,0.475,0.343,2.5,0.0552,17,33,0.9983,3.27,0.575,10.1,5
5.29,0.624,0.188,3.71,0.1421,27,80,0.9976,3.61,0.467,8.8,3
8.47,0.526,0.325,1.48,0.0294,8,29,0.9963,3.24,0.756,10.9,6
8.39,0.537,0.267,2.08,0.0612,20,34,0.9979,3.33,0.79,9.9,5
9.22,0.367,0.373,0.62,0.0444,15,24,0.9973,3.28,0.806,10.7,6
7.98,0.357,0.368,2.04,0.0665,1,34,0.9971,3.26,0.717,11.8,6
10.28,0.248,0.542,1.19,0.0651,8,23,0.9953,3.13,0.813,12.9,8
9.23,0.41,0.147,2.27,0.0938,5,36,0.9964,3.29,0.794,10.9,6
7.82,0.401,0.248,1.35,0.046,12,37,0.9978,3.1,0.693,11.1,6
7.83,0.486,0.29,1.65,0.0906,19,30,0.9961,3.55,0.82,10.7,6
9.8,0.464,0.416,2.17,0.0406,9,25,0.9954,3.23,0.785,12.5,7
11.12,0.317,0.473,1.09,0.0718,4,6,0.9964,3.18,1.181,13.2,8
11.12,0.32,0.582,1.22,0.0583,1,13,0.9975,3.15,1.128,12.1,8
9.73,0.605,0.095,3.16,0.141,19,75,0.9979,3.35,0.561,10.0,4
12.29,0.306,0.573,1.2,0.056,15,29,0.996,3.18,0.906,13.0,8
8.93,0.293,0.273,1.79,0.0313,8,41,0.9972,3.2,0.806,11.1,7
9.59,0.333,0.32,1.15,0.0425,3,26,0.9958,3.22,0.793,12.3,7
11.16,0.276,0.435,0.85,0.0399,1,43,0.9956,3.19,1.229,12.4,8
7.23,0.736,0.148,2.83,0.0823,24,52,0.9977,3.38,0.635,9.4,4
9.65,0.565,0.343,0.5,0.0752,14,31,0.9967,3.18,0.857,12.3,7
10.02,0.615,0.403,2.04,0.0581,16,22,0.9966,3.22,0.842,10.3,6
8.91,0.663,0.189,4.13,0.0904,19,75,0.9966,3.35,0.592,10.1,4
9.01,0.601,0.185,2.66,0.1144,17,16,0.9979,3.36,0.599,10.0,4
9.14,0.417,0.524,1.19,0.0669,15,22,0.9967,3.15,0.936,12.9,8
8.25,0.557,0.183,3.57,0.1178,22,71,0.9976,3.42,0.468,9.8,4
7.92,0.872,0.152,3.81,0.1222,26,63,0.9981,3.61,0.547,8.3,3
7.56,0.571,0.017,2.56,0.1099,28,57,0.9977,3.43,0.676,10.5,4
9.22,0.346,0.488,1.71,0.0375,16,16,0.9969,3.19,1.058,12.5,7
7.14,0.675,0.245,3.43,0.0923,23,72,0.9979,3.36,0.708,9.2,4
6.49,0.474,0.249,2.8,0.0862,23,37,0.9985,3.36,0.513,10.1,4
11.55,0.388,0.36,1.66,0.0777,11,45,0.9971,3.21,1.038,10.9,7
12.99,0.532,0.477,0.84,0.0656,12,35,0.9956,3.31,0.88,11.3,7
5.87,0.44,0.161,2.62,0.0773,16,39,0.9978,3.39,0.722,10.2,4
10.33,0.422,0.306,2.5,0.0699,4,48,0.9963,3.17,0.673,11.1,7
7.15,0.862,0.192,3.25,0.1037,20,65,0.9989,3.44,0.616,9.8,3
9.55,0.408,0.077,3.58,0.1034,24,67,0.9977,3.43,0.539,10.5,4
10.49,0.599,0.184,3.74,0.0885,6,56,0.9984,3.29,0.725,10.9,5
8.74,0.575,0.2,1.92,0.1118,15,61,0.9979,3.43,0.628,9.4,4
9.75,0.545,0.287,1.81,0.0823,24,25,0.9949,3.39,0.674,11.4,6
9.0,0.465,0.236,1.98,0.079,11,34,0.9957,3.21,0.747,10.8,5
8.68,0.442,0.362,2.0,0.0448,17,32,0.9952,3.23,0.867,11.4,7
10.88,0.519,0.534,1.28,0.0502,6,11,0.9965,3.04,0.817,12.6,8
8.55,0.656,0.228,3.47,0.1087,16,45,0.9976,3.33,0.599,9.9,4
9.19,0.369,0.26,1.73,0.0371,11,39,0.9956,3.23,0.755,12.1,7
8.86,0.482,0.31,2.25,0.0565,14,39,0.9967,3.25,0.559,10.5,5
7.72,0.183,0.298,2.15,0.051,12,48,0.9964,3.26,0.935,11.1,6
8.01,0.68,0.189,2.82,0.1214,18,71,0.9984,3.52,0.472,9.1,3
8.24,0.673,0.113,2.17,0.1161,17,53,0.9982,3.42,0.648,9.8,4
8.98,0.504,0.34,1.31,0.0717,15,24,0.9983,3.37,0.926,10.9,5
8.04,0.652,0.305,2.68,0.0925,25,64,0.9973,3.41,0.584,9.7,4
7.24,0.559,0.113,3.18,0.0965,14,63,0.997,3.35,0.601,9.1,4
7.46,0.752,0.14,4.48,0.1255,16,57,0.9977,3.5,0.568,9.1,3
10.33,0.444,0.457,1.3,0.0672,15,40,0.9972,3.18,0.82,10.8,6
9.37,0.548,0.262,1.03,0.0688,30,35,0.9958,3.26,0.805,11.0,6
7.78,0.888,0.182,2.71,0.095,11,53,0.998,3.45,0.499,9.6,4
7.36,0.547,0.201,2.64,0.1385,22,80,0.9988,3.51,0.379,9.5,3
8.5,0.551,0.197,2.78,0.0695,20,64,0.9966,3.26,0.708,10.5,5
